NO.,Command,Explanation,Parameters,Returning
25,"SYSTem:COMMunicate:SOCKet:WLAN:D
B M?","Query signal strength and dBm value of
WIFI",None,"DBM value, unit dBm"
26,"SYSTem:COMMunicate:SOCKet:ETHern
et: DHCP?",Acquire DHCP state of Ethernet,None,"1=DHCP,0= static status"
27,"SYSTem:COMMunicate:SOCKet:ETHern
et: DHCP <enable>",Design DHCP state of Ethernet,"Open or nor enable,1=ON=open,
0=OFF=close",None
28,"SYSTem:COMMunicate:SOCKet:ETHern
et: ADDRess?",Acquire IP address of Ethernet,None,IPaddress
29,"SYSTem:COMMunicate:SOCKet:ETHern
et: ADDRess <ip>","Design the IP address of Ethernet under
the static state",IP address,None
30,"SYSTem:COMMunicate:SOCKet:ETHern
et: MASK?",Acquire subnet mask of Ethernet,None,Subnet mask
31,"SYSTem:COMMunicate:SOCKet:ETHern
et: MASK <mask>","Design subnet mask of Ethernet under
the static state",Subnet mask,None
32,"SYSTem:COMMunicate:SOCKet:ETHern
et: GATeway?",Acquire gateway of Ethernet,None,Gate way
33,"SYSTem:COMMunicate:SOCKet:ETHern
et: GATeway <gateway>","Design gateway of Ethernet under the
static state",gateway,None
34,"SYSTem:COMMunicate:SOCKet:ETHern
et: PHYSicaladdress?",Read physical Address of Ethernet,None,Physical address
35,SYSTem:REGistry:INITiate [<Boolean>],initialize registry,,None
36,"SYSTem:REGistry:DATA<QuoteStr>,<Quot
eStr>,<QuoteStr>,BINary|DWord|ExpandS
tring|MultiString|QWord|String","Write the key value to the registry.
BINary is binary data, and each byte is
separated by -, for example, binary data
0x11, 0x22, 0xaa, 0xbb, expressed as ""11-
22-aa-bb"";
DWord is a 32-bit integer;
ExpandString specifies a
NULL-terminated string containing an
unexpanded reference to an environment
variable (such as %PATH%, which
expands when the value is
retrieved).MultiString is an array of strings,
separating each string with -, and a single
string needs to be enclosed in
parentheses, for
example""(abc)-(123er)-(hello,333)""
QWord is a 64-bit integer
String is a string","1. Path: quoted string
2. The name of the key: a quoted string
3. Key value: quoted string
4. Value type",None
37,"SYSTem:REGistry:DATA?
<QuoteStr>,<QuoteStr>",Read key value from registry,"1. Path: quoted string
2. The name of the key: a quoted string",key value
38,"SYSTem:REGistry:DELete<QuoteStr>,<
Qu oteStr>",Delete key value from registry,"1. Path: quoted string
2. The name of the key: a quoted string",None
39,"SYSTem:REGistry:SAVE
HKEY_LOCAL_MACHINE|HKEY_CLASS
ES_R
OOT|HKEY_CURRENT_USER|HKEY_US
ERS| ALL",Save registry,Key name,None
40,"SYSTem:PASSword:EDIT
<oldPassword>,<newPassword>,<newPa
sswordRepeat>",Editor the user password,"3 values, comma separated, password is
only consist of figures.
Old password/super administrative
New password
New password repeat",None
41,SYSTem:PASSword:ENABle:SENSor?,"Query that the protection of sensor bank
password is opened or not",None,"1 value
Open or not,1=open,
0=close"
42,"SYSTem:PASSword:ENABle:SENSor
<enable>","Design the protection of sensor bank
password","1 value
enable,0=close,1=open",None
43,"SYSTem:COMMunicate:BLUEtooth[:STATe
]",Read open and close status of Bluetooth,None,"1 value
Open or not 1=open,0=close"
44,"?
SYSTem:COMMunicate:BLUEtooth[:STATe
]
<Boolean>|ON|OFF","Design open and close status of
Bluetooth","1 value
Open or not 1=open,0=close",None
45,SYSTem:COMMunicate:BLUEtooth:NAMe?,Read Bluetooth name,None,"Character string: Bluetooth
name"
46,"SYSTem:COMMunicate:BLUEtooth:NAMe
<UnquoStr>",Design Bluetooth name,Character string: Bluetooth name,None
